Date,PnL
2014-08-26,66569.86
2014-08-27,66249.57
2014-08-28,66415.74
2014-08-29,66302.28
2014-08-31,66307.15
2014-09-01,66179.25
2014-09-02,66114.49
2014-09-03,66264.09
2014-09-04,67238.60
2014-09-05,67205.61
2014-09-07,67202.83
2014-09-08,66828.47
2014-09-09,66711.54
2014-09-10,66852.20
2014-09-11,66251.89
2014-09-12,66243.21
2014-09-14,66243.21
2014-09-15,66386.66
2014-09-16,66376.91
2014-09-17,66049.66
2014-09-18,65582.37
2014-09-19,65981.08
2014-09-21,65981.08
2014-09-22,66006.37
2014-09-23,65584.29
2014-09-24,65837.56
2014-09-25,65874.03
2014-09-26,66007.70
2014-09-28,66007.70
2014-09-29,66000.47
2014-09-30,66333.75
2014-10-01,66495.96
2014-10-02,66214.85
2014-10-03,66698.14
2014-10-05,66698.14
2014-10-06,66842.87
2014-10-07,67132.14
2014-10-08,66838.18
2014-10-09,66607.15
2014-10-10,66957.98
2014-10-12,66961.77
2014-10-13,67083.69
2014-10-14,67213.23
2014-10-15,66738.31
2014-10-16,67180.08
2014-10-17,67483.74
2014-10-19,67480.07
2014-10-20,67508.75
2014-10-21,68018.38
2014-10-22,68484.96
2014-10-23,68499.34
2014-10-24,68443.52
2014-10-26,68448.49
2014-10-27,68401.10
2014-10-28,68113.99
2014-10-29,67810.40
2014-10-30,67907.17
2014-10-31,68052.84
2014-11-02,68045.44
2014-11-03,67941.30
2014-11-04,67530.48
2014-11-05,67477.24
2014-11-06,67730.85
2014-11-07,67949.82
2014-11-09,68004.14
2014-11-10,67991.26
2014-11-11,68329.92
2014-11-12,68502.43
2014-11-13,68518.77
2014-11-14,69019.75
2014-11-16,68958.07
2014-11-17,69202.18
2014-11-18,68840.59
2014-11-19,68790.42
2014-11-20,68778.61
2014-11-21,69666.17
2014-11-23,69616.77
2014-11-24,69347.95
2014-11-25,68980.01
2014-11-26,68698.74
2014-11-27,68611.50
2014-11-28,68618.67
2014-11-30,68588.07
2014-12-01,68816.24
2014-12-02,68945.62
2014-12-03,69407.17
2014-12-04,68424.06
2014-12-05,68793.91
2014-12-07,68734.28
2014-12-08,69089.45
2014-12-09,69087.54
2014-12-10,68932.56
2014-12-11,69276.00
2014-12-12,68692.48
2014-12-14,68738.37
2014-12-15,68527.50
2014-12-16,67989.20
2014-12-17,68473.89
2014-12-18,69022.68
2014-12-19,68763.09
2014-12-21,68747.55
2014-12-22,68509.91
2014-12-23,68881.61
2014-12-24,68748.53
2014-12-26,68899.42
2014-12-28,68883.17
2014-12-29,68837.08
2014-12-30,68767.58
2014-12-31,68992.63
2015-01-02,68585.28
2015-01-04,68335.96
2015-01-05,68461.66
2015-01-06,68667.05
2015-01-07,69066.20
2015-01-08,69185.77
2015-01-09,69232.55
2015-01-11,69316.56
2015-01-12,69197.03
2015-01-13,69178.03
2015-01-14,69394.55
2015-01-15,71857.71
2015-01-16,73439.80
2015-01-18,73470.08
2015-01-19,72794.68
2015-01-20,72631.52
2015-01-21,72593.95
2015-01-22,73430.93
2015-01-23,73759.31
2015-01-25,73705.52
2015-01-26,73206.29
2015-01-27,72152.55
2015-01-28,72197.33
2015-01-29,71352.28
2015-01-30,71821.08
2015-02-01,71872.91
2015-02-02,71847.23
2015-02-03,71515.47
2015-02-04,71011.57
2015-02-05,70706.26
2015-02-06,71116.25
2015-02-08,71159.08
2015-02-09,71457.60
2015-02-10,71287.13
2015-02-11,71217.06
2015-02-12,71116.63
2015-02-13,71223.87
2015-02-15,71247.94
2015-02-16,70894.25
2015-02-17,70515.41
2015-02-18,70606.38
2015-02-19,70644.90
2015-02-20,70989.34
2015-02-22,70995.34
2015-02-23,71188.41
2015-02-24,71339.34
2015-02-25,71157.32
2015-02-26,72208.97
2015-02-27,72264.24
2015-03-01,72151.73
2015-03-02,71911.30
2015-03-03,71970.55
2015-03-04,72646.66
2015-03-05,72445.56
2015-03-06,73155.69
2015-03-08,73128.54
2015-03-09,73422.92
2015-03-10,73568.30
2015-03-11,73812.10
2015-03-12,73427.52
2015-03-13,73971.77
2015-03-15,73975.27
2015-03-16,73753.78
2015-03-17,73255.43
2015-03-18,74350.24
2015-03-19,74801.45
2015-03-20,74623.62
2015-03-22,74623.62
2015-03-23,74213.34
2015-03-24,74405.66
2015-03-25,73839.59
2015-03-26,74100.05
2015-03-27,73894.35
2015-03-29,73897.42
2015-03-30,73859.96
2015-03-31,74422.02
2015-04-01,74617.80
2015-04-02,74002.82
2015-04-03,73350.16
2015-04-05,73353.72
2015-04-06,72825.37
2015-04-07,73194.33
2015-04-08,73346.95
2015-04-09,73657.23
2015-04-10,73933.26
2015-04-12,73925.66
2015-04-13,73866.47
2015-04-14,72899.61
2015-04-15,73544.37
2015-04-16,73645.32
2015-04-17,73599.55
2015-04-19,73599.55
2015-04-20,73509.32
2015-04-21,73766.71
2015-04-22,73648.58
2015-04-23,73451.98
2015-04-24,73353.52
2015-04-26,73350.49
2015-04-27,73526.62
2015-04-28,73305.94
2015-04-29,72784.39
2015-04-30,72175.04
2015-05-01,71916.21
2015-05-03,71924.07
2015-05-04,72183.97
2015-05-05,71994.33
2015-05-06,71536.43
2015-05-07,71651.78
2015-05-08,71414.10
2015-05-10,71410.48
2015-05-11,71565.45
2015-05-12,70892.48
2015-05-13,70553.49
2015-05-14,70372.49
2015-05-15,70370.73
2015-05-17,70363.54
2015-05-18,70356.76
2015-05-19,71271.67
2015-05-20,70898.63
2015-05-21,70536.74
2015-05-22,70924.00
2015-05-24,70928.36
2015-05-25,71030.80
2015-05-26,70929.79
2015-05-27,71114.56
2015-05-28,71139.06
2015-05-29,71184.21
2015-05-31,71180.66
2015-06-01,71451.13
2015-06-02,70524.19
2015-06-03,70237.29
2015-06-04,69634.50
2015-06-05,70261.00
2015-06-07,70255.65
2015-06-08,70152.69
2015-06-09,71009.21
2015-06-10,71714.41
2015-06-11,71940.67
2015-06-12,71871.01
2015-06-14,71870.85
2015-06-15,71944.56
2015-06-16,72207.11
2015-06-17,72441.25
2015-06-18,72288.70
2015-06-19,72471.79
2015-06-21,72470.15
2015-06-22,72047.43
2015-06-23,72585.96
2015-06-24,72426.22
2015-06-25,72434.94
2015-06-26,72438.59
2015-06-28,72438.59
2015-06-29,72258.19
2015-06-30,72250.00
2015-07-01,71969.73
2015-07-02,71673.36
2015-07-03,71428.29
2015-07-05,71423.47
2015-07-06,71626.37
2015-07-07,72632.78
2015-07-08,72532.82
2015-07-09,72473.95
2015-07-10,71380.27
2015-07-12,71385.60
2015-07-13,71663.73
2015-07-14,71647.60
2015-07-15,71695.51
2015-07-16,72124.44
2015-07-17,72363.76
2015-07-19,72360.55
2015-07-20,72214.75
2015-07-21,71886.08
2015-07-22,71944.74
2015-07-23,71777.65
2015-07-24,71960.66
2015-07-26,71960.66
2015-07-27,71497.81
2015-07-28,71653.41
2015-07-29,71582.48
2015-07-30,71629.83
2015-07-31,70682.30
2015-08-02,70689.52
2015-08-03,70618.07
2015-08-04,70471.65
2015-08-05,70413.66
2015-08-06,70704.21
2015-08-07,70970.21
2015-08-09,70968.77
2015-08-10,71020.93
2015-08-11,70215.48
2015-08-12,70083.61
2015-08-13,70121.73
2015-08-14,70448.15
2015-08-16,70446.57
2015-08-17,70566.34
2015-08-18,70356.21
2015-08-19,70699.90
2015-08-20,70411.93
2015-08-21,70826.02
2015-08-23,70826.02
2015-08-24,69855.24
2015-08-25,70632.88
2015-08-26,70565.84
2015-08-27,71687.34
2015-08-28,71960.81
2015-08-30,71963.12
2015-08-31,71558.49
2015-09-01,71391.05
2015-09-02,71453.23
2015-09-03,72716.29
2015-09-04,72773.16
2015-09-06,72773.77
2015-09-07,72509.08
2015-09-08,72905.39
2015-09-09,73312.12
2015-09-10,73517.77
